Den/Měsíc	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	X	Max.	N
1	38,8	33,2	29,6	33,8	35,3	42,7	60,6	76,9	104,9	112,4	183,8	175,5	208,8	52,7	50,3	66,1	76,8	77,9	53,6	77,6	33,4	66,4	125,5	172,1	77,6	68,8	70,4	118,2	134,0	96,3	131,6	86,6	208,8	31
2	105,1	140,8	99,5	32,5	70,6	107,2	76,8	15,8	16,8	25,4	23,3	34,7	66,5	82,8	87,8	56,6	66,5	43,5	38,0	47,4	63,3	45,0	61,3	51,0	50,7	49,1	63,5	73,3				60,5	140,8	28
3	56,0	59,7	58,3	28,2	33,0	54,5	46,4	53,2	44,5	34,9	34,5	44,5	34,3	52,0	74,0	74,3	42,6	72,6	71,3	118,3	98,0	81,9	61,9	61,0	69,0	29,4	53,9	23,2	29,2	29,1	28,4	53,3	118,3	31
4	39,5	28,5	32,0	31,0	26,6	39,1	51,4	50,2	33,2	40,3	34,0	42,5	23,2	20,6	29,6	17,5	33,0	47,3	46,1	51,9	56,6	53,8	23,5	36,1	46,3	45,2	49,6	32,3	11,7	10,8		36,1	56,6	30
5	20,2	43,3	54,5	41,8	63,0	46,5	48,4	44,3	46,3	35,0	38,4	46,7	35,2	31,9	33,3	30,8	26,1	26,7	25,0	18,3	19,1	32,3	20,3	39,1	21,0	19,2	11,8	15,8	20,3	18,1	23,4	32,1	63,0	31
6	21,8	24,0	19,7	18,4	29,3	31,1	25,0	29,2	28,8	19,4	24,3	29,6	37,5	35,8	43,6	47,2	28,5	23,0	42,7	37,2	45,7	39,3	35,6	37,5	34,0	42,5	34,7	32,3	38,2	27,3		32,1	47,2	30
7	21,7	22,8	37,3	36,1	35,6	38,9	41,1	23,1	30,5	34,5	46,1	43,8	41,5	36,0	19,4	15,6	23,3	33,6	36,9	43,1	47,3	42,0	37,7	36,9	44,4	40,5	46,1	48,9	35,3	27,2	26,2	35,3	48,9	31
8	23,8	20,5	20,4	22,6	19,1	15,2	15,3	25,3	33,4	27,0	24,8	14,8	14,4	22,0	29,2	34,4	38,7	27,9	25,2	14,0	20,0	22,3	28,0	44,2	20,7	20,8	17,0	19,5	20,9	20,5	19,6	23,3	44,2	31
9	30,0	29,2	23,7	21,9	34,8			27,7	36,0	49,2	59,3	57,6	48,4	53,3	47,3	38,3	44,1	61,5	69,4	85,5	51,3	39,2	40,0	39,3	48,1	52,8	58,5	43,6	44,6	54,5		46,0	85,5	28
10	63,0	41,6	63,1	36,3	38,2	48,5	40,4	48,6	42,1	53,2	54,7	62,3	68,9	62,7	31,0	28,9	40,4	53,6	57,9	50,5	64,1	62,6	39,7	27,6	40,7	49,7	86,3	35,1	6,5	29,3	35,4	47,2	86,3	31
11	20,5	31,8	28,2	28,3	12,5	30,9	62,4	101,2	32,1	35,3	33,0	9,8	23,2	23,3	51,3	63,3	63,9	62,5	61,0	31,0	35,7	29,4	45,8	44,9	47,5	52,0	68,0	63,5	50,0	50,8		43,1	101,2	30
12	51,6	57,0	62,0	68,3	46,3	46,2	37,7	34,4	19,2	29,0	40,0	49,1	45,9	60,7	35,2	30,6	45,5	37,1	42,0	39,9	46,4	46,8	39,1	29,4	20,2	34,5	73,0	64,2	50,3	46,9	75,4	45,3	75,4	31
